set,TE,rowsums.pseudobulk,rowsums.cellbycell,rowsums.bycluster,cells.pseudobulk,cells.individual,cells.clusters,sample.name
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3o,10,11,19,10,11,19,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVH_6q16.3b,12,9,9,12,9,9,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3r,8,10,8,8,10,8,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3s,5,4,6,5,4,6,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3t,1,1,1,1,1,1,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3u,4,4,4,4,4,4,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3v,5,5,5,5,5,5,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3w,2,2,2,2,2,2,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3x,11,12,12,11,12,12,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3y,12,11,14,12,11,14,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3z,7,7,7,7,7,7,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ba,15,14,16,13,12,14,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ca,3,3,3,3,3,3,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3da,4,3,4,4,3,4,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3fa,2,2,2,2,2,2,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ga,1,1,2,1,1,2,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ia,6,6,9,6,6,9,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1ORF2_6q16.3,2,2,2,2,2,2,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLI_6q16.3,7,6,7,7,6,7,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ja,13,13,13,13,13,13,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ka,20,18,20,19,17,19,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3la,451,423,451,388,361,388,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3ma,405,403,404,364,362,363,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q16.3na,435,431,435,377,373,377,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21a,16,6,9,16,6,9,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21b,670,668,676,575,573,581,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21c,27,26,27,19,18,19,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERV316A3_6q21a,3,3,3,2,2,2,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLB4_6q21a,1,1,1,1,1,1,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1ORF2_6q21a,23,19,19,22,18,18,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVW_6q21a,328,311,330,313,296,315,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21d,1562,1562,1562,1346,1346,1346,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21e,3,3,3,3,3,3,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLB4_6q21b,5,5,5,5,5,5,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVW_6q21b,69,69,69,66,66,66,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_6q21a,223,223,223,217,217,217,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_6q21b,1,1,1,1,1,1,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1ORF2_6q21b,64,57,65,61,55,62,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21f,6064,6041,6063,4595,4577,4594,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVL_6q21,1,1,1,1,1,1,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,MER41_6q21a,97,97,97,91,91,91,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21g,1430,1397,1431,994,962,995,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21h,747,745,747,590,588,590,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21i,68,62,71,67,61,70,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_6q21c,117,117,117,113,113,113,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21j,292,283,295,244,236,246,20k_PBMC_3p_HT_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_6q21k,546,539,553,412,404,419,20k_PBMC_3p_HT_nextgem_Chromium_X
